1,1,01/07/2019,0,20190112345,18_5555_NM_ABP_IPS_4,,,Review,,,HW
2,3,02/07/2019,1,20190112346,18_5555_NM_ABP_IPS_5,,,Review,,,HW
3,5,03/07/2019,0,20190112347,18_5555_NM_ABP_IPS_6,,,Review,,,HW
4,7,04/07/2019,1,20190112348,18_5555_NM_ABP_IPS_7,,,Review,,,HW
5,9,05/07/2019,0,20190112349,18_5555_NM_ABP_IPS_8,,,Review,,,HW
6,11,06/07/2019,1,20190112350,18_5555_NM_ABP_IPS_9,,,Review,,,HW
7,13,07/07/2019,0,20190112351,18_5555_NM_ABP_IPS_10,,,Review,,,HW
8,15,08/07/2019,0,20190112352,18_5555_NM_ABP_IPS_11,,,Review,,,HW
9,17,09/07/2019,1,20190112353,18_5555_NM_ABP_IPS_12,,,Review,,,HW
10,19,10/07/2019,0,20190112354,18_5555_NM_ABP_IPS_13,,,Review,,,HW
